Trial,trialAudio,Group,Block,TrainingTrialType,target,distractor
11,f_saddle.mp3,B,training,famfam,saddle.png,puppet.png
12,f_locker.mp3,B,training,famfam,locker.png,pigeon.png
13,f_fishhook.mp3,B,training,famfam,fishhook.png,mammoth.png
14,f_earmuff.mp3,B,training,famfam,earmuff.png,slingshot.png
15,f_barrel.mp3,B,training,famfam,barrel.png,anchor.png
16,f_wagon.mp3,B,training,famfam,wagon.png,seaweed.png
17,f_snorkel.mp3,B,training,famfam,snorkel.png,pickaxe.png
18,f_sculpture.mp3,B,training,famfam,sculpture.png,barstool.png
19,f_naysis.mp3,B,training,unfamfam,naysis.png,cello.png
20,f_crambo.mp3,B,training,unfamfam,crambo.png,treadmill.png
21,f_boga.mp3,B,training,unfamfam,boga.png,scalpel.png
22,f_staper.mp3,B,training,unfamfam,staper.png,coatrack.png
23,f_stamzee.mp3,B,training,unfamfam,stamzee.png,corkscrew.png
24,f_kobber.mp3,B,training,unfamfam,kobber.png,mattress.png
25,f_tirpa.mp3,B,training,unfamfam,tirpa.png,castle.png
26,f_stimmer.mp3,B,training,unfamfam,stimmer.png,hanger.png
27,f_veelut.mp3,B,training,unfamfam,veelut.png,stroller.png
28,f_lorter.mp3,B,training,unfamfam,lorter.png,thumbprint.png
29,f_lasvit.mp3,B,training,unfamfam,lasvit.png,yoyo.png
30,f_danter.mp3,B,training,unfamfam,danter.png,frisbee.png
31,f_zicky.mp3,B,training,unfamfam,zicky.png,lantern.png
32,f_mubby.mp3,B,training,unfamfam,mubby.png,clothespin.png
33,f_meeva.mp3,B,training,unfamfam,meeva.png,skateboard.png
34,f_zable.mp3,B,training,unfamfam,zable.png,compass.png
35,f_zeenum.mp3,B,training,unfamfam,zeenum.png,cactus.png
36,f_findo.mp3,B,training,unfamfam,findo.png,dumbbell.png
37,f_flashcard.mp3,B,training,famfam,flashcard.png,stingray.png
38,f_curtain.mp3,B,training,famfam,curtain.png,oboe.png
39,f_sandbox.mp3,B,training,famfam,sandbox.png,acorn.png
40,f_windmill.mp3,B,training,famfam,windmill.png,payphone.png
41,f_beehive.mp3,B,training,famfam,beehive.png,notepad.png
42,f_beetle.mp3,B,training,famfam,beetle.png,locket.png
43,f_pinwheel.mp3,B,training,famfam,pinwheel.png,lanyard.png
44,f_earplug.mp3,B,training,famfam,earplug.png,kayak.png
45,f_hammock.mp3,B,training,famfam,hammock.png,tassel.png
46,f_buckle.mp3,B,training,famfam,buckle.png,hardhat.png
47,f_puppet.mp3,B,training,famfam,puppet.png,saddle.png
48,f_pigeon.mp3,B,training,famfam,pigeon.png,locker.png
49,f_mammoth.mp3,B,training,famfam,mammoth.png,fishhook.png
50,f_slingshot.mp3,B,training,famfam,slingshot.png,earmuff.png
51,f_anchor.mp3,B,training,famfam,anchor.png,barrel.png
52,f_seaweed.mp3,B,training,famfam,seaweed.png,wagon.png
53,f_pickaxe.mp3,B,training,famfam,pickaxe.png,snorkel.png
54,f_barstool.mp3,B,training,famfam,barstool.png,sculpture.png
55,f_naysis.mp3,B,training,unfamfam,naysis.png,cello.png
56,f_crambo.mp3,B,training,unfamfam,crambo.png,treadmill.png
57,f_boga.mp3,B,training,unfamfam,boga.png,scalpel.png
58,f_staper.mp3,B,training,unfamfam,staper.png,coatrack.png
59,f_stamzee.mp3,B,training,unfamfam,stamzee.png,corkscrew.png
60,f_kobber.mp3,B,training,unfamfam,kobber.png,mattress.png
61,f_tirpa.mp3,B,training,unfamfam,tirpa.png,castle.png
62,f_stimmer.mp3,B,training,unfamfam,stimmer.png,hanger.png
63,f_veelut.mp3,B,training,unfamfam,veelut.png,stroller.png
64,f_lorter.mp3,B,training,unfamfam,lorter.png,thumbprint.png
65,f_lasvit.mp3,B,training,unfamfam,lasvit.png,yoyo.png
66,f_danter.mp3,B,training,unfamfam,danter.png,frisbee.png
67,f_zicky.mp3,B,training,unfamfam,zicky.png,lantern.png
68,f_mubby.mp3,B,training,unfamfam,mubby.png,clothespin.png
69,f_meeva.mp3,B,training,unfamfam,meeva.png,skateboard.png
70,f_zable.mp3,B,training,unfamfam,zable.png,compass.png
