Question
How old were you when you first learned English?
How old are you now?
Where did you learn English?
"How would you describe the variant of English that you speak (for example, Western New York English, NYC English, Australian English, French-accented English)?"
"Do you speak (or have you spoken in the past) any languages other than English? If so, what language(s)? Where did you learn them?"
"If you speak another language, in what you context do you use this language or languages?"
Do you routinely hear variants of English that are different from Western New York English?
